#K-Path      Energy-Level
# NKPTS & NBANDS:  80  28
# Band-Index    1
   0.00000    -12.921645
   0.02431    -13.054422
   0.04862    -13.185086
   0.07293    -13.313452
   0.09724    -13.439373
   0.12155    -13.562712
   0.14586    -13.683340
   0.17017    -13.801148
   0.19448    -13.916043
   0.21879    -14.027922
   0.24310    -14.136701
   0.26741    -14.242303
   0.29172    -14.344658
   0.31603    -14.443702
   0.34034    -14.539376
   0.36465    -14.631633
   0.38896    -14.720423
   0.41327    -14.805702
   0.43758    -14.887430
   0.46189    -14.965561
   0.48620    -15.040064
   0.51051    -15.110907
   0.53482    -15.178065
   0.55913    -15.241510
   0.58344    -15.301222
   0.60775    -15.357171
   0.63206    -15.409347
   0.65637    -15.457726
   0.68068    -15.502288
   0.70499    -15.543021
   0.72930    -15.579912
   0.75361    -15.612949
   0.77792    -15.642126
   0.80223    -15.667430
   0.82654    -15.688852
   0.85085    -15.706386
   0.87516    -15.720032
   0.89947    -15.729778
   0.92378    -15.735628
   0.94809    -15.737576
   0.94809    -15.737576
   0.96597    -15.736711
   0.98385    -15.734118
   1.00173    -15.729798
   1.01961    -15.723752
   1.03748    -15.715984
   1.05536    -15.706498
   1.07324    -15.695301
   1.09112    -15.682392
   1.10899    -15.667790
   1.12687    -15.651496
   1.14475    -15.633522
   1.16263    -15.613880
   1.18051    -15.592581
   1.19838    -15.569637
   1.21626    -15.545061
   1.23414    -15.518871
   1.25202    -15.491083
   1.26989    -15.461713
   1.28777    -15.430787
   1.30565    -15.398326
   1.32353    -15.364352
   1.34141    -15.328890
   1.35928    -15.291968
   1.37716    -15.253612
   1.39504    -15.213853
   1.41292    -15.172724
   1.43079    -15.130264
   1.44867    -15.086508
   1.46655    -15.041495
   1.48443    -14.995271
   1.50231    -14.947881
   1.52018    -14.899378
   1.53806    -14.849810
   1.55594    -14.799241
   1.57382    -14.747734
   1.59169    -14.695357
   1.60957    -14.642197
   1.62745    -14.588406
   1.64533    -14.534845
 
 
# Band-Index    2
   1.64533    -14.534578
   1.62745    -14.529357
   1.60957    -14.577851
   1.59169    -14.626782
   1.57382    -14.675281
   1.55594    -14.723178
   1.53806    -14.770376
   1.52018    -14.816790
   1.50231    -14.862347
   1.48443    -14.906980
   1.46655    -14.950630
   1.44867    -14.993238
   1.43079    -15.034748
   1.41292    -15.075109
   1.39504    -15.114278
   1.37716    -15.152211
   1.35928    -15.188864
   1.34141    -15.224201
   1.32353    -15.258183
   1.30565    -15.290782
   1.28777    -15.321963
   1.26989    -15.351701
   1.25202    -15.379971
   1.23414    -15.406742
   1.21626    -15.431996
   1.19838    -15.455711
   1.18051    -15.477868
   1.16263    -15.498448
   1.14475    -15.517440
   1.12687    -15.534826
   1.10899    -15.550595
   1.09112    -15.564733
   1.07324    -15.577233
   1.05536    -15.588083
   1.03748    -15.597278
   1.01961    -15.604811
   1.00173    -15.610677
   0.98385    -15.614868
   0.96597    -15.617385
   0.94809    -15.618225
   0.94809    -15.618225
   0.92378    -15.616283
   0.89947    -15.610460
   0.87516    -15.600758
   0.85085    -15.587180
   0.82654    -15.569735
   0.80223    -15.548420
   0.77792    -15.523249
   0.75361    -15.494225
   0.72930    -15.461359
   0.70499    -15.424662
   0.68068    -15.384147
   0.65637    -15.339828
   0.63206    -15.291716
   0.60775    -15.239834
   0.58344    -15.184198
   0.55913    -15.124831
   0.53482    -15.061753
   0.51051    -14.994990
   0.48620    -14.924572
   0.46189    -14.850534
   0.43758    -14.772900
   0.41327    -14.691711
   0.38896    -14.607011
   0.36465    -14.518837
   0.34034    -14.427233
   0.31603    -14.332259
   0.29172    -14.233965
   0.26741    -14.132413
   0.24310    -14.027675
   0.21879    -13.919825
   0.19448    -13.808941
   0.17017    -13.695114
   0.14586    -13.578444
   0.12155    -13.459046
   0.09724    -13.337032
   0.07293    -13.212537
   0.04862    -13.085709
   0.02431    -12.956710
   0.00000    -12.921638
 
 
# Band-Index    3
   0.00000    -12.825736
   0.02431    -12.786925
   0.04862    -12.650493
   0.07293    -12.512574
   0.09724    -12.373418
   0.12155    -12.233321
   0.14586    -12.092600
   0.17017    -11.951611
   0.19448    -11.810748
   0.21879    -11.670446
   0.24310    -11.591757
   0.26741    -11.705015
   0.29172    -11.814487
   0.31603    -11.920150
   0.34034    -12.021981
   0.36465    -12.119962
   0.38896    -12.214071
   0.41327    -12.304288
   0.43758    -12.390603
   0.46189    -12.472996
   0.48620    -12.551451
   0.51051    -12.625957
   0.53482    -12.696499
   0.55913    -12.763069
   0.58344    -12.825652
   0.60775    -12.884243
   0.63206    -12.938828
   0.65637    -12.989403
   0.68068    -13.035959
   0.70499    -13.078488
   0.72930    -13.116985
   0.75361    -13.151444
   0.77792    -13.181859
   0.80223    -13.208228
   0.82654    -13.230549
   0.85085    -13.248815
   0.87516    -13.263028
   0.89947    -13.273180
   0.92378    -13.279270
   0.94809    -13.281301
   0.94809    -13.281301
   0.96597    -13.282013
   0.98385    -13.284159
   1.00173    -13.287749
   1.01961    -13.292805
   1.03748    -13.299359
   1.05536    -13.307446
   1.07324    -13.317106
   1.09112    -13.328388
   1.10899    -13.341343
   1.12687    -13.356016
   1.14475    -13.372460
   1.16263    -13.390721
   1.18051    -13.410842
   1.19838    -13.432860
   1.21626    -13.456800
   1.23414    -13.482683
   1.25202    -13.510512
   1.26989    -13.540277
   1.28777    -13.571961
   1.30565    -13.605527
   1.32353    -13.640926
   1.34141    -13.678092
