#K-Path          Energy    tot
# NKPTS & NBANDS:  99  48
# Band-Index    1
    3.14422    -17.148916    0.020
    3.10269    -17.143055    0.020
    3.06117    -17.125318    0.020
    3.01964    -17.095826    0.021
    2.97811    -17.054841    0.022
    2.93658    -17.002605    0.022
    2.89505    -16.939419    0.022
    2.85352    -16.865713    0.023
    2.81200    -16.781900    0.023
    2.77047    -16.688624    0.024
    2.72894    -16.586507    0.025
    2.68741    -16.476272    0.025
    2.64588    -16.358684    0.026
    2.60436    -16.234661    0.028
    2.56283    -16.105200    0.030
    2.52130    -15.971403    0.031
    2.47977    -15.834460    0.032
    2.43824    -15.695635    0.033
    2.39671    -15.556356    0.034
    2.35519    -15.418150    0.034
    2.31366    -15.282607    0.035
    2.27213    -15.151409    0.035
    2.23060    -15.026277    0.035
    2.18907    -14.908887    0.034
    2.14755    -14.800886    0.033
    2.10602    -14.703760    0.029
    2.06449    -14.618733    0.026
    2.02296    -14.546795    0.021
    1.98143    -14.488555    0.014
    1.93990    -14.444225    0.008
    1.89838    -14.413601    0.004
    1.85685    -14.396034    0.001
    1.81532    -14.390482    0.000
    1.81532    -14.390482    0.000
    1.79456    -14.391786    0.000
    1.77379    -14.395565    0.001
    1.75303    -14.401623    0.002
    1.73226    -14.409748    0.003
    1.71150    -14.419728    0.005
    1.69074    -14.431357    0.006
    1.66997    -14.444418    0.008
    1.64921    -14.458708    0.009
    1.62844    -14.474025    0.011
    1.60768    -14.490172    0.012
    1.58692    -14.506953    0.013
    1.56615    -14.524194    0.014
    1.54539    -14.541717    0.015
    1.52462    -14.559353    0.016
    1.50386    -14.576948    0.018
    1.48309    -14.594346    0.018
    1.46233    -14.611406    0.020
    1.44157    -14.627994    0.020
    1.42080    -14.643985    0.021
    1.40004    -14.659263    0.021
    1.37927    -14.673719    0.021
    1.35851    -14.687249    0.022
    1.33775    -14.699769    0.022
    1.31698    -14.711190    0.022
    1.29622    -14.721442    0.022
    1.27545    -14.730457    0.022
    1.25469    -14.738179    0.022
    1.23393    -14.744559    0.022
    1.21316    -14.749558    0.022
    1.19240    -14.753144    0.022
    1.17163    -14.755291    0.022
    1.15087    -14.755998    0.022
    1.15087    -14.755998    0.022
    1.11490    -14.764254    0.023
    1.07894    -14.788854    0.025
    1.04297    -14.829093    0.026
    1.00701    -14.883898    0.028
    0.97104    -14.951898    0.031
    0.93508    -15.031551    0.032
    0.89912    -15.121233    0.033
    0.86315    -15.219276    0.034
    0.82719    -15.324056    0.034
    0.79122    -15.434023    0.033
    0.75526    -15.547695    0.033
    0.71929    -15.663712    0.032
    0.68333    -15.780812    0.032
    0.64736    -15.897787    0.031
    0.61140    -16.013597    0.031
    0.57543    -16.127334    0.029
    0.53947    -16.238056    0.028
    0.50350    -16.345007    0.026
    0.46754    -16.447435    0.026
    0.43158    -16.544700    0.025
    0.39561    -16.636231    0.024
    0.35965    -16.721532    0.024
    0.32368    -16.800010    0.023
    0.28772    -16.871328    0.023
    0.25175    -16.935089    0.022
    0.21579    -16.991018    0.022
    0.17982    -17.038800    0.022
    0.14386    -17.078195    0.021
    0.10789    -17.109022    0.021
    0.07193    -17.131204    0.020
    0.03596    -17.144514    0.020
    0.00000    -17.148916    0.020

# Band-Index    2
    0.00000    -16.572996    0.676
    0.03596    -16.568956    0.677
    0.07193    -16.557012    0.678
    0.10789    -16.537149    0.677
    0.14386    -16.509449    0.678
    0.17982    -16.474060    0.678
    0.21579    -16.431081    0.679
    0.25175    -16.380865    0.679
    0.28772    -16.323647    0.680
    0.32368    -16.259700    0.680
    0.35965    -16.189377    0.680
    0.39561    -16.113018    0.681
    0.43158    -16.031128    0.682
    0.46754    -15.944191    0.682
    0.50350    -15.852748    0.683
    0.53947    -15.757466    0.684
    0.57543    -15.659044    0.683
    0.61140    -15.558230    0.685
    0.64736    -15.455916    0.684
    0.68333    -15.352970    0.685
    0.71929    -15.250402    0.683
    0.75526    -15.149288    0.682
    0.79122    -15.050910    0.679
    0.82719    -14.956506    0.674
    0.86315    -14.867444    0.666
    0.89912    -14.785121    0.652
    0.93508    -14.711005    0.629
    0.97104    -14.646555    0.595
    1.00701    -14.593112    0.542
    1.04297    -14.551705    0.473
    1.07894    -14.522726    0.399
    1.11490    -14.505817    0.344
    1.15087    -14.500305    0.324
    1.15087    -14.500305    0.324
    1.17163    -14.499788    0.324
    1.19240    -14.498222    0.321
    1.21316    -14.495609    0.317
    1.23393    -14.491976    0.311
    1.25469    -14.487349    0.302
    1.27545    -14.481771    0.293
    1.29622    -14.475289    0.282
    1.31698    -14.467956    0.269
    1.33775    -14.459838    0.254
    1.35851    -14.451000    0.239
    1.37927    -14.441522    0.223
    1.40004    -14.431478    0.205
    1.42080    -14.420959    0.189
    1.44157    -14.410054    0.170
    1.46233    -14.398854    0.153
    1.48309    -14.387458    0.135
    1.50386    -14.375961    0.120
    1.52462    -14.364464    0.103
    1.54539    -14.353070    0.089
    1.56615    -14.341879    0.075
    1.58692    -14.330996    0.063
    1.60768    -14.320529    0.052
    1.62844    -14.310573    0.041
    1.64921    -14.301241    0.033
    1.66997    -14.292637    0.025
    1.69074    -14.284866    0.019
    1.71150    -14.278028    0.013
    1.73226    -14.272225    0.009
    1.75303    -14.267554    0.005
    1.77379    -14.264109    0.002
    1.79456    -14.261981    0.001
    1.81532    -14.261250    0.000
    1.81532    -14.261250    0.000
    1.85685    -14.264306    0.002
    1.89838    -14.273889    0.012
    1.93990    -14.290604    0.032
    1.98143    -14.315204    0.071
    2.02296    -14.348915    0.145
    2.06449    -14.393795    0.267
    2.10602    -14.452191    0.412
    2.14755    -14.524752    0.527
    2.18907    -14.610031    0.599
    2.23060    -14.705913    0.637
    2.27213    -14.810375    0.658
    2.31366    -14.921593    0.671
    2.35519    -15.037838    0.678
    2.39671    -15.157444    0.681
    2.43824    -15.278873    0.683
    2.47977    -15.400631    0.685
    2.52130    -15.521342    0.685
    2.56283    -15.639755    0.685
    2.60436    -15.754717    0.683
    2.64588    -15.865110    0.683
    2.68741    -15.970053    0.682
    2.72894    -16.068632    0.681
    2.77047    -16.160028    0.681
    2.81200    -16.243578    0.680
    2.85352    -16.318684    0.680
    2.89505    -16.384779    0.679
    2.93658    -16.441507    0.679
    2.97811    -16.488414    0.679
    3.01964    -16.525289    0.677
    3.06117    -16.551745    0.678
    3.10269    -16.567657    0.677
    3.14422    -16.572996    0.676

# Band-Index    3
    3.14422    -15.492243    0.174
    3.10269    -15.489604    0.174
    3.06117    -15.481400    0.174
    3.01964    -15.467969    0.172
    2.97811    -15.449245    0.171
    2.93658    -15.425299    0.169
    2.89505    -15.396345    0.167
    2.85352    -15.362593    0.165
    2.81200    -15.324276    0.162
    2.77047    -15.281683    0.160
    2.72894    -15.235110    0.157
    2.68741    -15.184911    0.153
    2.64588    -15.131428    0.148
    2.60436    -15.075215    0.143
    2.56283    -15.016644    0.139
    2.52130    -14.956251    0.134
    2.47977    -14.894536    0.129
    2.43824    -14.832048    0.124
    2.39671    -14.769361    0.120
    2.35519    -14.707087    0.118
    2.31366    -14.645802    0.120
    2.27213    -14.586078    0.126
    2.23060    -14.528393    0.143
    2.18907    -14.473053    0.178
    2.14755    -14.420058    0.245
    2.10602    -14.369067    0.361
    2.06449    -14.320036    0.507
    2.02296    -14.274644    0.629
    1.98143    -14.235728    0.707
    1.93990    -14.205305    0.750
    1.89838    -14.184066    0.774
    1.85685    -14.171820    0.785
    1.81532    -14.167924    0.789
    1.81532    -14.167924    0.789
    1.79456    -14.168837    0.789
    1.77379    -14.171506    0.786
