#K-Path          Energy    tot
# NKPTS & NBANDS:  99  48
# Band-Index    1
    3.14422    -17.148916    0.720
    3.10269    -17.143055    0.720
    3.06117    -17.125318    0.720
    3.01964    -17.095826    0.719
    2.97811    -17.054841    0.720
    2.93658    -17.002605    0.719
    2.89505    -16.939419    0.721
    2.85352    -16.865713    0.720
    2.81200    -16.781900    0.720
    2.77047    -16.688624    0.721
    2.72894    -16.586507    0.721
    2.68741    -16.476272    0.722
    2.64588    -16.358684    0.722
    2.60436    -16.234661    0.722
    2.56283    -16.105200    0.724
    2.52130    -15.971403    0.725
    2.47977    -15.834460    0.727
    2.43824    -15.695635    0.728
    2.39671    -15.556356    0.730
    2.35519    -15.418150    0.733
    2.31366    -15.282607    0.736
    2.27213    -15.151409    0.739
    2.23060    -15.026277    0.744
    2.18907    -14.908887    0.749
    2.14755    -14.800886    0.754
    2.10602    -14.703760    0.761
    2.06449    -14.618733    0.769
    2.02296    -14.546795    0.776
    1.98143    -14.488555    0.785
    1.93990    -14.444225    0.793
    1.89838    -14.413601    0.799
    1.85685    -14.396034    0.804
    1.81532    -14.390482    0.804
    1.81532    -14.390482    0.804
    1.79456    -14.391786    0.804
    1.77379    -14.395565    0.804
    1.75303    -14.401623    0.802
    1.73226    -14.409748    0.800
    1.71150    -14.419728    0.798
    1.69074    -14.431357    0.796
    1.66997    -14.444418    0.795
    1.64921    -14.458708    0.792
    1.62844    -14.474025    0.790
    1.60768    -14.490172    0.788
    1.58692    -14.506953    0.787
    1.56615    -14.524194    0.784
    1.54539    -14.541717    0.784
    1.52462    -14.559353    0.782
    1.50386    -14.576948    0.781
    1.48309    -14.594346    0.779
    1.46233    -14.611406    0.779
    1.44157    -14.627994    0.777
    1.42080    -14.643985    0.777
    1.40004    -14.659263    0.776
    1.37927    -14.673719    0.776
    1.35851    -14.687249    0.775
    1.33775    -14.699769    0.775
    1.31698    -14.711190    0.774
    1.29622    -14.721442    0.774
    1.27545    -14.730457    0.773
    1.25469    -14.738179    0.774
    1.23393    -14.744559    0.774
    1.21316    -14.749558    0.773
